"Circo","Inscrits","Votants","Blancs","Nuls","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÃ‰LENCHON","POUTOU"
"59-06",89060,74761,1194,428,451,493,108,4010,17385,3803,483,16583,17764,11560,499
"59-07",72350,56043,913,374,301,546,98,2503,12013,3168,264,11021,12590,11805,447
"59-08",67704,45538,818,394,352,619,75,1559,4834,2975,217,11074,9047,13122,452
"59-09",91893,69878,887,335,305,556,99,2416,20736,4330,377,9493,17196,12619,529
"59-10",81911,59179,1029,402,408,575,87,2925,10441,3032,374,15515,11436,12364,591
"59-11",92042,69871,1071,473,510,576,124,3131,11516,5326,419,15402,15082,15554,687
"59-12",93593,72524,1290,579,672,476,114,3961,10910,2910,533,25451,11237,13741,650
"59-13",89193,67296,1628,512,729,709,117,3124,7009,3740,435,21483,10873,16051,886
"59-14",98767,80458,1523,658,721,561,153,4770,13785,3545,715,25531,14282,13291,923
"59-15",95832,78487,1386,669,737,513,122,4522,14615,3588,639,22788,14747,13247,914
"59-16",82976,63553,1199,505,650,412,111,2634,5747,2997,374,22920,9238,16138,628
"59-17",73591,56797,1004,416,432,457,104,2562,7925,2838,327,18212,9685,12300,535
"59-18",91651,70785,1358,423,702,562,130,4309,11665,2843,441,24584,11721,11401,646
"59-19",79065,60741,1060,437,585,460,87,2481,5726,2935,300,23318,8731,14078,543
"59-20",81085,59254,1033,503,587,443,110,2816,6525,2538,319,21696,9102,12987,595
"59-21",82570,61820,1084,388,500,583,106,2897,9998,2772,365,18311,11464,12824,528
"60-01",83057,66236,1211,540,665,542,117,3462,10227,2952,508,22370,12260,10558,824
"60-02",88723,72046,1290,518,681,565,140,4181,12279,2945,586,24588,12630,10866,777
"60-03",73830,57369,1067,486,456,890,106,2945,7373,3028,404,16511,10476,13010,617
"60-04",92482,75001,1168,353,368,803,123,3880,18532,3229,609,18405,16260,10701,570
"60-05",72727,57679,1034,336,458,592,93,3088,9613,2787,452,16875,11802,9940,609
"60-06",75206,60269,1080,363,540,531,116,3100,10895,2568,434,17998,11809,10214,621
"60-07",76060,60231,1190,402,509,743,132,3280,7864,3025,421,18429,11445,12126,665
"61-01",69542,56906,1101,393,477,346,112,3091,13868,3177,503,11988,12806,8317,727
"61-02",67550,54969,943,340,453,418,115,3132,14621,2285,488,14441,10022,7069,642
"61-03",71642,58519,1132,428,583,527,123,3421,12595,3197,489,13103,12987,9156,778
"62-01",104255,86888,1636,711,842,592,145,4806,15515,3571,688,29692,15177,12604,909
"62-02",85270,69313,1226,578,612,500,122,3470,12082,4317,533,16303,16214,12648,708
"62-03",85594,62747,1137,594,716,501,105,2292,4690,3410,316,24370,8664,15277,675
"62-04",88511,71852,1359,633,665,391,99,3731,15480,2881,505,19005,16375,9989,739
"62-05",89795,69276,1012,606,681,361,129,3118,10357,3902,479,19552,14247,14078,754
"62-06",91172,76250,1372,702,725,394,145,4548,13240,3616,616,24616,13628,11896,752
"62-07",93184,70571,1242,671,632,505,117,3614,9183,3294,473,24632,11790,13719,699
"62-08",92986,73568,1241,732,945,402,129,3625,10146,3604,566,23579,14360,13464,775
"62-09",79203,63374,1139,572,572,392,104,3409,10103,3107,454,19587,12064,11287,584
"62-10",90289,68183,1249,656,784,407,114,2898,6569,3759,404,26364,10113,14069,797
"62-11",94861,71295,1286,655,665,603,92,2780,5698,3682,391,28556,10088,16039,760
"62-12",95248,72857,1452,561,828,436,107,3136,6014,3941,407,29891,10962,14272,850
"63-01",83422,63459,1238,535,405,578,130,2306,8837,5292,792,9538,18118,14961,729
"63-02",87847,71103,1509,715,587,550,141,3340,10949,4843,1515,13625,17512,14781,1036
"63-03",89014,71461,1323,552,413,471,164,2742,14979,5361,1412,8812,20907,13551,774
"63-04",98579,79589,1737,595,598,599,181,3526,11559,5617,1532,13259,21289,18008,1089
"63-05",102077,82002,1944,889,696,712,139,3731,12108,4701,2097,17796,18971,17116,1102
"64-01",68721,54828,923,368,198,417,71,2115,9026,4517,2208,7528,15837,11042,578
"64-02",80056,65853,1031,446,244,449,82,2657,10869,4752,3549,9984,18992,12131,667
"64-03",82776,67411,1162,531,334,460,75,2653,9123,5441,5391,10962,16752,13684,843
"64-04",80215,65443,1142,412,389,363,92,2161,9959,4654,10290,7535,14272,12527,1647
"64-05",90986,72547,1160,434,268,616,86,2575,14081,5701,3514,9515,18681,14900,1016
"64-06",99624,78939,1267,492,366,477,102,2566,18800,5524,4930,8852,19424,14519,1620
"65-01",88184,70395,1188,661,370,489,90,2827,9146,5191,3322,12280,17681,16332,818
"65-02",89314,72860,1232,633,396,534,110,3041,11079,4735,3606,13650,17321,15763,760
"66-01",70971,54354,833,429,272,468,100,1937,9749,2746,718,14811,10380,11380,531
"66-02",96684,76755,1240,721,406,582,125,2776,12921,3045,1222,25581,12954,14390,792
"66-03",83066,65248,1092,740,343,572,109,2255,10633,3773,1252,17473,11743,14425,838
"66-04",97193,77573,1398,690,456,681,119,2773,12562,3891,1442,22304,14168,16197,892
"67-01",60939,47976,513,224,186,596,61,1098,10100,4631,286,4602,13528,11723,428
"67-02",69497,53828,676,339,311,679,103,1990,9687,4710,450,8284,14019,12061,519
"67-03",68848,52744,734,310,296,734,87,2251,10471,3852,416,8704,13129,11281,479
"67-04",94497,77370,1130,457,419,747,132,4713,19294,3828,681,16195,19073,10101,600
"67-05",104112,83894,1615,732,786,922,171,6239,17208,3567,1003,22978,16831,10807,1035
"67-06",96016,77459,1329,616,651,773,198,5579,17062,3363,984,20688,15743,9626,847
"67-07",85419,69311,1149,692,752,778,144,5595,14343,2470,946,21499,12568,7557,818
"67-08",94578,75710,1481,694,885,784,154,6345,16151,2479,881,24218,13435,7156,1047
"67-09",92642,73903,1169,549,559,824,156,5443,17179,3053,772,20427,14928,8064,780
"68-01",76090,59601,1237,392,477,812,148,3708,12697,2944,675,15018,12663,8158,672
"68-02",92204,74865,1489,594,598,852,176,5433,16269,3370,1145,19220,14668,10154,897
"68-03",85594,68990,1441,504,486,766,178,5540,18225,2426,853,18098,12058,7690,725
"68-04",102534,82594,1821,680,697,1028,195,6282,15033,3334,989,25916,14107,11434,1078
"68-05",77394,58622,1509,179,349,786,129,3176,13851,3330,604,11931,13012,9227,539
"68-06",92373,71122,1576,462,494,973,184,4423,14162,3290,738,19521,13290,11193,816
"69-01",69433,54933,0,969,236,552,108,1753,10825,4644,386,6190,16094,12709,467
"69-02",74940,60516,0,864,190,455,85,1212,13886,5887,322,4116,17625,15388,486
"69-03",72007,57893,0,953,221,578,102,1545,11420,5784,345,5129,17266,14070,480
"69-04",80092,64931,0,964,194,553,103,1687,18634,5100,369,5349,20099,11467,412
"69-05",88108,70003,921,275,211,580,83,2624,22233,3797,432,9103,19505,9823,416
"69-06",82377,60860,910,321,347,717,101,2052,9893,5459,368,7813,16538,15791,550
"69-07",67959,47413,653,293,248,662,77,1733,7816,3484,296,8095,11268,12340,448
"69-08",102599,82892,1401,486,423,746,137,4816,22117,3929,770,16314,19402,11726,625
"69-09",91672,73441,1299,449,323,710,109,4196,17448,3609,714,17236,16193,10508,647
"69-10",95229,78481,1155,428,304,710,128,4891,20760,4079,696,13590,20249,10956,535
"69-11",92433,74074,1365,388,375,730,119,3997,14104,3723,699,16922,17628,13423,601
"69-12",79772,63753,922,245,311,567,96,2679,17057,3950,466,8688,17637,10703,432
"69-13",84726,66045,1067,338,261,781,104,3351,13551,3297,475,15408,15715,11198,499
"69-14",74321,51294,950,429,420,846,92,1890,5907,3371,364,10532,10932,15009,552
"70-01",88490,71792,1420,865,613,583,138,4343,13661,3157,727,20688,14097,10533,967
"70-02",90724,72446,1400,1031,712,623,129,3833,11523,3439,785,23065,13235,11617,1054
"71-01",72884,57704,1192,381,313,529,99,3459,11973,3761,570,11457,13572,9843,555
"71-02",78438,63017,1420,644,490,432,107,4386,12923,3180,750,14255,13368,10384,678
"71-03",82777,65159,1372,584,444,477,103,3598,12266,4007,593,16088,14248,10623,756
"71-04",82320,65003,1444,686,475,536,98,4165,11181,3552,656,17670,12710,11060,770
"71-05",89999,68780,1416,575,479,561,102,3353,11757,4684,584,15787,15314,13339,829
"72-01",71726,59534,1273,302,363,361,107,2331,17468,3474,364,10205,12710,9966,610
"72-02",81903,65446,1632,274,461,447,114,2523,15358,3881,373,13390,13421,12870,702
"72-03",85273,70320,1415,631,660,444,114,3108,19353,3217,541,16409,12086,11521,821
"72-04",79619,65766,1379,468,447,374,109,2550,20089,3075,401,12496,12084,11588,706
"72-05",86919,70796,1589,457,521,448,103,3145,19993,3548,462,14582,14316,10906,726
"73-01",87005,70432,1250,439,319,673,108,4078,15399,3553,892,15293,16344,11441,643
"73-02",75950,59510,1114,445,289,629,110,3535,13975,2644,840,12774,11962,10487,706
"73-03",72640,58446,996,453,334,579,111,3270,10723,3168,733,13915,13132,10387,645
"73-04",74661,59101,866,367,277,727,101,2790,10718,4387,687,10466,14433,12698,584
"74-01",100824,82488,1477,525,356,866,173,4986,20336,4301,867,14197,21617,12040,747
"74-02",95027,76758,1297,474,313,933,135,4338,18937,4425,846,12175,19805,12397,683
"74-03",82253,65847,1305,415,317,708,141,4409,14617,3411,729,14223,14012,10827,733
"74-04",86717,64033,1106,358,296,985,141,3353,15528,3459,613,11680,15174,10650,690
"74-05",96156,74183,1419,460,396,954,132,4209,19098,3647,806,13893,16524,11878,767
"74-06",79054,60455,1122,319,241,575,105,3489,16534,2562,788,11750,13042,9285,643
"75-01",80756,69528,556,155,104,419,68,832,23670,5223,315,2666,26972,8285,263
"75-02",71736,62434,492,186,97,352,68,806,23058,4494,331,2359,22824,7105,262
"75-03",68669,57234,613,208,153,471,90,1059,12988,5808,277,2986,20793,11402,386
"75-04",69718,59710,401,142,55,266,51,770,32193,2096,229,2455,16987,3950,115
"75-05",75853,64068,580,237,172,431,67,760,10718,8306,284,2432,25205,14474,402
"75-06",76611,63699,686,261,215,474,80,890,8607,9139,295,2861,21475,18164,552
"75-07",76041,65009,610,225,163,426,74,917,12341,7677,324,2655,25949,13231,417
"75-08",82156,68643,780,312,217,560,122,1597,14350,7627,412,4211,23569,14422,464
"75-09",68343,56640,718,329,223,570,111,1212,9593,6539,347,3703,19087,13698,510
"75-10",67293,55608,632,272,202,563,94,1244,10156,6447,330,3649,18896,12716,407
"75-11",70966,61208,543,188,157,443,92,917,16145,6338,304,2502,23464,9765,350
"75-12",73940,63774,542,225,115,425,73,1078,24267,4209,331,2842,22532,6893,242
"75-13",75350,63520,622,250,150,532,82,1424,19512,5162,364,3666,22370,9044,342
"75-14",72316,61919,339,180,53,297,50,879,34999,1953,194,2556,16742,3559,118
"75-15",76216,61502,714,298,240,612,100,1203,8163,8257,337,3733,18721,18514,610
"75-16",70283,55878,631,279,249,510,74,909,8860,7263,284,3136,16446,16776,461
"75-17",58153,44769,563,311,179,519,72,706,5964,5725,222,2682,12374,14996,456
"75-18",67237,56294,605,195,153,465,104,794,9160,7287,310,2625,20600,13554,442
"76-01",65496,51006,772,254,213,416,80,1537,10819,4448,271,5993,13936,11768,499
"76-02",94778,78572,1356,393,413,585,137,4016,17687,4365,473,16360,19169,12903,715
"76-03",69575,53599,1022,315,429,508,97,1904,5237,4486,267,10954,11208,16386,786
"76-04",88340,68900,1463,456,585,671,116,2882,7324,5309,398,17424,13969,17315,988
"76-05",96251,78197,1502,480,681,565,165,4016,11544,4667,510,21230,16154,15626,1057
"76-06",109605,88167,1756,556,813,510,164,4455,16305,3551,616,26900,15772,15797,972
"76-07",87582,68594,1627,131,359,455,117,2996,13315,3906,454,12917,15760,15895,662
"76-08",67636,48656,1296,41,327,409,89,1799,4988,2740,232,11245,8427,16514,549
"76-09",93651,77721,1531,502,703,512,134,4445,13162,3807,558,21642,14077,15634,1014
"76-10",108744,90952,1760,625,833,574,179,4986,17955,4237,604,26280,17284,14556,1079
"77-01",70891,53605,929,345,295,617,96,3112,10784,2910,397,10356,12598,10671,495
"77-02",79697,63932,981,382,356,665,127,3582,14645,3518,495,13232,14689,10680,580
"77-03",75449,60551,1169,322,320,704,98,3767,9983,3483,445,15273,12042,12390,555
"77-04",87907,70574,1321,496,435,656,132,4415,12780,2956,608,22480,11888,11727,680
"77-05",84928,68150,1240,461,367,801,136,4348,12464,3130,562,17511,14272,12264,594
"77-06",78045,61843,1163,460,353,690,99,3723,9399,3142,461,16584,12504,12682,583
"77-07",85317,68341,1238,423,360,864,118,3852,11177,3480,454,16232,14820,14754,569
"77-08",89117,71428,1317,425,313,796,132,3791,12939,4527,518,11528,19772,14748,622
"77-09",85704,67397,1192,346,349,763,122,4846,11770,3723,466,13905,16269,13077,569
"77-10",79711,61763,1165,452,311,932,107,2799,9138,4438,438,9539,16168,15702,574
"77-11",64792,50672,1359,177,247,709,80,3293,5966,3475,341,8969,12351,13172,533
"78-01",83366,69321,823,275,181,699,114,2355,22242,5332,432,6109,20452,9912,395
"78-02",85323,72476,897,298,209,651,144,3028,21371,4627,546,7546,23015,9737,407
"78-03",83492,68964,716,279,174,479,98,2293,26525,3738,416,6157,20029,7693,367
"78-04",78395,65356,800,280,178,575,96,2439,19504,4159,405,5985,21680,8900,355
"78-05",73673,59389,703,264,184,543,100,1988,18103,3577,337,5744,18526,8946,374
"78-06",75762,60130,773,281,188,597,105,2106,18440,3420,398,6195,18244,8988,395
"78-07",80529,64416,1007,334,306,700,108,3113,13663,4552,528,9850,17945,11761,549
"78-08",73760,55831,1058,418,337,858,116,2613,7901,3514,406,11838,11864,14322,586
"78-09",90878,73571,1288,485,421,927,135,4074,15352,4209,559,15110,16860,13519,632
"78-10",88776,74843,1039,370,282,780,147,3892,19875,5058,597,10322,20483,11482,516
"78-11",68238,53079,860,349,197,685,95,2303,9846,6622,363,6272,13794,11276,417
"78-12",68956,56287,877,263,215,653,100,2702,14013,3756,384,6896,16169,9804,455
"79-01",90254,72684,1361,801,510,520,118,3261,12055,5983,780,9862,21366,15069,998
"79-02",97398,79384,1678,874,780,535,157,4050,13068,5464,1058,15235,19434,15714,1337
"79-03",84752,69375,1592,739,579,423,118,4045,15072,3503,761,13543,17026,10826,1148
"80-01",84262,65043,1238,602,605,468,98,2662,8525,3281,434,18207,14488,13702,733
"80-02",75497,59835,941,362,420,511,110,2429,10276,3594,361,11051,16973,12221,586
"80-03",83829,68974,1429,722,710,353,141,3565,11828,2432,571,22271,12664,11551,737
"80-04",83987,69382,1290,602,677,500,142,3703,11148,2697,522,22234,14057,11024,786
"80-05",81439,65291,1226,477,699,440,88,3103,10057,2256,477,23318,11338,10993,819
"81-01",83803,68919,1203,814,364,469,124,3284,12963,4338,2221,14582,15363,12496,698
"81-02",106030,87484,1488,1030,546,670,162,4065,12974,6343,2340,18522,18766,19522,1056
"81-03",101361,84284,1605,790,487,683,153,4091,15115,4849,2544,19298,17626,16076,967
"82-01",89968,73907,1241,613,384,650,129,3441,13650,4503,1679,17463,15510,13924,720
"82-02",93382,76812,1310,754,446,687,137,3792,12342,4064,1981,21720,14809,13917,853
"83-01",74822,55392,849,270,204,598,96,2308,14139,2327,606,13813,10631,9140,411
"83-02",90494,70261,1305,367,284,587,107,3512,14184,2577,880,21476,12615,11838,529
"83-03",100795,80778,1304,419,279,740,128,3723,20910,2936,959,21927,15044,11851,558
"83-04",106247,83937,1213,487,293,805,142,3804,23988,2257,907,25768,12945,10699,629
"83-05",96198,76015,981,448,250,728,97,3522,22240,2039,619,23067,12697,8866,461
"83-06",118396,95178,1584,545,333,832,141,4800,19203,3325,1170,30956,16156,15415,718
"83-07",103518,80258,1288,400,289,646,131,3485,20243,2650,813,22451,14523,12796,543
"83-08",104307,83851,1334,438,342,924,135,4023,17409,2978,979,26918,13986,13579,806
"84-01",72960,55155,832,371,238,605,113,1880,8876,3117,532,13132,10941,14033,485
"84-02",83274,67528,1139,392,256,517,104,3163,13315,2847,881,19885,12596,11902,531
"84-03",75536,60963,1047,342,283,495,100,2934,10919,2161,726,21066,9656,10738,496
"84-04",88654,71870,1431,418,336,640,127,3538,13643,2436,1015,23642,12057,11935,652
"84-05",81710,66033,1140,392,277,631,99,2912,12793,2971,832,18212,12885,12248,641
"85-01",109552,92446,1710,1052,710,585,167,5141,21039,5026,749,16081,24770,14245,1171
"85-02",103486,86888,1689,889,635,563,140,4726,19600,4758,794,15676,22695,13688,1035
"85-03",122127,100087,1587,894,642,662,128,5599,27797,4244,881,19531,23726,13437,959
"85-04",97841,84741,2044,845,759,494,164,4996,22849,3908,701,12411,22801,11591,1178
"85-05",81455,67412,1250,785,548,401,97,3749,15519,3420,685,13891,15997,10194,876
"86-01",79610,63693,1227,513,488,501,133,2858,9974,5088,726,10387,16918,13932,948
"86-02",77533,63040,1141,437,417,456,123,2877,11222,5318,652,8277,17506,13769,845
"86-03",74137,59847,1316,751,639,483,146,3172,11058,3437,836,13124,13032,10839,1014
"86-04",75734,58307,1057,697,530,456,158,3013,10449,3018,647,15236,11690,10521,835
"87-01",85076,68242,1358,906,559,470,141,2755,9628,5484,1034,11673,17895,15406,933
"87-02",97847,80324,1671,1124,700,559,155,3555,12965,5487,1383,14289,20154,17149,1133
"87-03",83399,67136,1449,780,591,528,144,2975,9928,5165,1101,11975,17528,13994,978
"88-01",77066,60823,1191,516,466,561,104,3515,11024,3261,641,15944,12582,10270,748
"88-02",73276,57939,1196,535,529,623,100,3353,9042,2754,639,18607,10574,9183,804
"88-03",65636,53446,1283,444,513,584,129,3667,9959,2517,799,13562,10463,8649,877
"88-04",66634,54011,1050,502,496,455,122,3788,9554,2355,671,15811,9985,8422,800
"89-01",76975,61065,1149,357,407,629,119,3779,12414,3243,736,14870,12950,9772,640
"89-02",75754,59367,1081,421,472,477,107,3683,11032,2644,636,16906,11245,9938,725
"89-03",89189,68747,1174,444,501,669,115,4206,13293,2959,615,20864,12039,11105,763
"90-01",47817,36902,716,329,256,454,83,1971,6547,1985,325,10171,7220,6421,424
"90-02",47523,36830,684,429,336,487,84,1799,6121,2204,343,9078,7552,7251,462
"91-01",71168,52662,1067,465,327,787,103,2531,6429,3710,369,8159,12905,15182,628
"91-02",90695,73950,1311,495,404,805,145,5047,13781,3623,583,17574,15783,13730,669
"91-03",95774,79049,1305,560,372,848,153,4980,14313,5058,655,15201,19088,15793,723
"91-04",96472,80538,1309,440,340,894,151,5156,16048,5108,630,13375,21973,14394,720
"91-05",68257,56996,736,250,185,555,130,2077,13481,4478,400,4434,19213,10670,387
"91-06",81929,65706,949,366,280,827,149,3077,11539,5414,437,8227,19262,14645,534
"91-07",74142,57305,915,394,278,768,98,3384,9614,4012,441,9656,14134,13101,510
"91-08",76390,61222,827,288,190,653,89,11222,9007,3695,264,7790,14360,12394,443
"91-09",79226,63217,992,398,283,756,122,4869,11433,3946,379,10292,15496,13700,551
"91-10",61174,47142,829,409,265,621,101,2449,6829,3028,310,7753,11175,12783,590
"92-01",62383,46354,1198,223,245,946,76,1081,5087,3691,267,5176,10641,17266,457
"92-02",67876,56215,858,240,181,560,96,1316,14990,4388,323,3795,18749,10355,364
"92-03",81028,66839,1224,53,153,651,104,1919,20907,4345,362,4771,22775,9227,348
"92-04",76065,61068,1148,256,232,868,120,1702,11743,4616,351,5699,18044,15799,490
"92-05",70269,58598,695,314,176,668,103,1357,17572,4035,309,4231,18001,10756,381
"92-06",74221,63728,693,215,125,465,79,1273,29530,2681,300,4062,17645,6369,291
"92-07",86563,72662,861,232,177,591,133,2002,26562,3913,470,5189,23749,8452,331
"92-08",68737,58056,772,120,152,557,80,1520,18797,3909,375,3837,19423,8192,322
"92-09",68013,54673,749,0,68,383,65,1027,23748,2601,255,2633,17616,5346,182
"92-10",80592,65342,1133,88,161,656,107,1675,16504,5612,374,4256,23290,11119,367
"92-11",69206,56339,816,309,272,623,88,1504,8775,5582,364,4784,17261,15421,540
"92-12",92760,76062,1047,426,305,790,150,2726,17930,6069,517,7106,24289,14156,551
"92-13",89017,74079,1495,92,200,695,144,2257,19408,5672,480,5192,25204,12831,409
"93-01",61738,42825,632,383,275,728,91,918,4327,4094,211,4065,10541,16059,501
"93-02",54054,35854,659,428,262,638,81,647,2680,3182,171,3927,7671,15006,502
"93-03",72227,57056,985,415,286,736,103,2458,9108,4208,383,7867,15867,14077,563
"93-04",60819,42520,1109,318,257,711,86,1049,3855,3125,213,6208,8491,16620,478
"93-05",63728,44032,899,456,289,741,87,1293,4757,2744,243,7009,9547,15468,499
"93-06",52564,37304,628,329,333,509,76,683,3706,3725,177,3806,8753,14219,360
"93-07",75887,56271,873,326,296,719,95,1010,4869,6428,299,4854,13631,22093,778
"93-08",60044,46589,1024,232,209,590,112,1977,8699,3251,326,7174,11568,11016,411
"93-09",70118,51972,951,314,328,705,106,1352,6608,5179,317,5705,12443,17417,547
"93-10",68564,49188,993,326,254,967,83,1792,7026,3730,284,6923,10976,15317,517
"93-11",62536,44591,757,536,252,874,89,1422,4666,2773,253,7049,9880,15543,497
"93-12",64023,47401,794,359,197,813,79,1982,8717,3049,282,8869,10663,11202,395
"94-01",84583,69044,1007,384,223,761,121,2944,18678,4587,459,6764,19932,12682,502
"94-02",63262,49110,969,413,380,785,96,1923,6635,3983,284,5763,12025,15346,508
"94-03",72042,56194,1083,350,235,761,89,4319,9069,3537,348,9230,12753,13915,505
"94-04",72443,58861,937,369,217,680,94,3270,12935,3476,391,8544,15991,11487,470
"94-05",89365,69474,1089,331,234,731,132,2666,16760,4546,473,7305,20338,14428,441
"94-06",81214,66773,811,285,196,531,118,1868,16763,5558,397,4653,22014,13133,446
"94-07",65531,50973,847,323,246,585,81,2383,8944,3955,326,6045,14778,11994,466
"94-08",76702,62989,933,351,258,632,106,2578,15901,4661,429,6562,18700,11473,405
"94-09",53598,40395,721,330,259,571,77,1404,5401,3851,253,5105,9699,12314,410
"94-10",64408,50154,762,370,266,725,89,1449,5670,4566,306,5055,12648,17655,593
"94-11",62392,47505,766,254,235,541,63,1448,6058,4508,291,4852,13324,14685,480
"95-01",81533,66323,1260,368,329,729,113,3500,12366,3805,548,14338,14996,13325,646
"95-02",76435,61294,1098,408,309,810,116,3291,11391,3943,477,11244,15082,12661,464
"95-03",91564,72707,1286,398,271,941,130,3815,13506,4608,550,12719,18833,15042,608
"95-04",76024,59445,1009,317,311,690,115,3014,11976,4058,456,8667,16365,11980,487
"95-05",68513,50559,954,343,354,828,83,1599,5934,3893,314,7434,11810,16515,498
"95-06",76338,58615,862,314,230,742,81,2175,13267,3891,431,7657,16214,12300,451
"95-07",69534,53831,897,338,231,654,91,2134,12842,3303,350,8029,13183,11365,414
"95-08",54205,37439,719,390,189,753,79,906,5598,2790,180,5390,7955,12079,411
"95-09",69895,51714,938,517,294,841,80,2278,7598,3232,369,11389,10846,12792,540
"95-10",66456,51010,1067,295,244,727,91,2119,6764,4065,305,7517,13709,13576,531
"ZA-01",76361,29148,1383,2140,539,285,109,425,3119,2530,169,3375,8351,6127,596
"ZA-02",86914,35335,1450,2798,497,384,65,585,4785,2622,147,4677,9110,7625,590
"ZA-03",83768,35015,1547,1680,450,397,83,599,4429,3059,188,4062,10075,7833,613
"ZA-04",69302,27153,1268,1892,494,253,70,433,4004,2977,154,3089,6456,5554,509
"ZB-01",79411,33199,2309,1938,665,374,116,629,5091,2679,214,3372,7104,7805,903
"ZB-02",81795,33832,2331,1773,629,332,104,597,5387,2613,240,3486,8046,7458,836
"ZB-03",65881,26410,1752,1184,460,319,82,446,3563,3108,193,2215,5924,6454,710
"ZB-04",83725,30516,1740,1450,503,382,72,668,4403,2273,224,2902,6877,8241,781
"ZC-01",53535,20753,2626,909,318,324,57,302,2584,979,166,4151,3152,4225,960
"ZC-02",38500,11172,1121,435,144,156,41,169,1350,549,107,2368,1879,2408,445
"ZD-01",80368,49555,1249,1156,507,851,101,1314,9114,3518,236,9864,11084,10052,509
"ZD-02",92748,51440,1767,1972,754,848,140,1293,7884,2642,281,9475,8709,15034,641
"ZD-03",92629,56106,2154,2462,911,1022,151,1821,7816,3314,319,14913,8184,12309,730
"ZD-04",104763,67062,1992,2600,847,1019,163,1734,12218,8476,325,13691,9154,14050,793
"ZD-05",83034,44502,1159,1563,809,650,100,1083,6770,2889,189,11480,7829,9474,507
"ZD-06",75685,42893,1122,1261,579,570,116,1151,6418,2473,235,10847,8131,9492,498
"ZD-07",110254,63694,2025,2291,783,1069,173,1727,10288,3560,354,11949,13201,15576,698
"ZM-01",37796,16567,459,730,148,218,80,450,3912,865,103,4056,3805,1450,291
"ZM-02",45249,19606,501,1014,188,193,86,580,7000,589,87,5074,2598,1358,338
"ZN-01",84944,42059,1248,384,335,1074,95,1301,13878,2522,350,10582,5792,4003,495
"ZN-02",104539,49167,1721,927,501,1024,145,1220,13187,5603,345,14708,5297,3700,789
"ZP-01",72514,30503,623,907,261,423,78,681,10471,894,184,9481,3983,2214,303
"ZP-02",66638,24195,565,582,227,334,64,486,7557,585,105,7908,3844,1702,236
"ZP-03",64784,24723,566,549,202,448,59,600,8655,724,158,7210,3301,2035,216
"ZS-01",4966,2728,70,26,28,36,9,79,261,217,54,478,473,933,64
"ZW-01",8464,5411,35,28,54,50,18,79,1526,1349,29,380,1630,192,41
"ZX-01",25385,8183,211,107,35,112,18,216,2518,247,68,1834,1572,1153,92
